parameter_name,count,mean,std,min,25%,50%,75%,max
Alkalinity to pH 4.5 : Grans Plot,3.0,194.0,194.42993596666128,60.0,82.5,105.0,261.0,417.0
Alkalinity to pH 4.5 as CaCO3,24.0,89.75708333333334,40.50994912462506,8.36,74.225,91.55,110.25,153.0
Ammoniacal Nitrogen as N,31.0,0.07833870967741936,0.09835220613495614,0.008,0.01075,0.0133,0.2,0.34
BOD : 5 Day ATU,20.0,4.2,0.5231483637805969,4.0,4.0,4.0,4.0,6.0
Calcium,3.0,25.133333333333336,20.77891559570261,10.4,13.25,16.1,32.5,48.9
"Carbon, Organic, Dissolved as C :- {DOC}",3.0,2.903333333333333,1.9521868080010512,0.9,1.9549999999999998,3.01,3.905,4.8
Chloride,3.0,7.640000000000001,3.6889429380243874,4.15,5.71,7.27,9.385,11.5
Chlorophyll : Acetone Extract,3.0,2.2066666666666666,1.8424259370008156,0.5,1.23,1.96,3.06,4.16
"Colour, Filtered",3.0,19.599999999999998,3.1953090617340907,17.1,17.8,18.5,20.85,23.2
Conductivity at 25 C,21.0,249.29047619047626,184.1335192320016,50.3,172.2,216.5,278.6,982.0
Magnesium,3.0,33.400000000000006,29.786742017212966,11.9,16.4,20.9,44.150000000000006,67.4
Nitrite as N,21.0,0.0022047619047619047,0.0023616680949016078,0.001,0.001,0.001,0.0013,0.009
"Nitrogen, Total Oxidised as N",21.0,0.46095238095238095,0.19633911382872135,0.21,0.33,0.42,0.54,1.15
"Nitrogen, Total Oxidised, Filtered as N",3.0,0.20000000000000004,3.3993498887762956e-17,0.2,0.2,0.2,0.2,0.2
"Nitrogen, Total as N",6.0,0.4351666666666667,0.13389909135862976,0.291,0.379,0.405,0.44225000000000003,0.685
No flow /No sample,10.0,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0
Oil and Grease,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
"Oil and Grease, Visible : Present/Not found (1/0)",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orthophosphate, Filtered as P",3.0,0.004,0.0,0.004,0.004,0.004,0.004,0.004
"Orthophosphate, reactive as P",21.0,0.011704761904761904,0.014076912878556724,0.004,0.004,0.0056,0.0165,0.0678
"Oxygen, Dissolved, % Saturation",23.0,97.70434782608693,7.220203866478965,70.7,95.94999999999999,98.8,102.30000000000001,105.2
"Phosphorus, Total as P",21.0,0.043871428571428575,0.021596021458989683,0.02,0.0304,0.0363,0.0537,0.114
Potassium,3.0,11.82,11.978196859293973,3.9,4.93,5.96,15.780000000000001,25.6
Sodium,3.0,31.513333333333335,37.148116147838955,9.34,10.07,10.8,42.6,74.4
"Solids, Suspended at 105 C",27.0,14.25925925925926,28.212916562607646,3.0,5.0,5.0,7.0,146.0
Sulphate as SO4,3.0,65.2,63.3706556696394,22.4,28.8,35.2,86.6,138.0
Temperature of Water,43.0,11.951162790697675,3.3011810363524408,7.4,8.5,11.6,14.95,19.2
pH,10.0,7.05,0.16499158227686106,6.8,6.925000000000001,7.1,7.1,7.4
pH : In Situ,28.0,8.090357142857142,0.24857344309832585,7.53,7.9175,8.12,8.245000000000001,8.57
